href,apartment_type,price,address,square,building_floor,floor,commission_percent,time_of_creation,agency,metro_distance,metro_station,latitude,longitude,postal_code,area
/nizhniy_novgorod/kvartiry/2-k_kvartira_38_m_24_et._1943799069,"
 2-к квартира",25000,"Нижегородская ул., 3",38.0,2,4,50,2020-06-24 12:03:00,Агентство,900 м,Горьковская,56.321825,43.989314,603109.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30.5_m_15_et._870285181,"
 1-к квартира",14000,"ул. Надежды Сусловой, 16к3",30.5,1,5,0,2020-06-29 17:29:00,,,без метро,56.303976,44.043437,603106.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_72.5_m_217_et._1931825940,"
 2-к квартира",55000,"ул. Ванеева, 6",72.5,2,17,50,2020-06-24 23:51:00,,"1,5 км",Горьковская,56.313738,44.018832,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_23_et._1814600855,"
 1-к квартира",7000,"пос. Новинки, жилой комплекс Акварель",33.0,2,3,70,2020-07-07 09:39:00,Агентство,,без метро,56.19319599999999,43.890616,,область
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_810_et._1951520012,"
 1-к квартира",13000,"Бурнаковская ул., 109",35.0,8,10,53,2020-07-01 14:27:00,Агентство,"1,4 км",Буревестник,56.343429,43.907378,,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_49_et._1956137888,"
 1-к квартира",14000,"ул. Александра Люкина, 5",34.0,4,9,0,2020-07-05 21:31:00,,"2,1 км",Буревестник,56.316479,43.879234,603047.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_69_et._716001662,"
 1-к квартира",13000,ул. Коминтерна,34.0,6,9,60,2020-07-07 13:12:00,Агентство,"1,9 км",Буревестник,56.34514,43.872578,,Сормовский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_76_m_1416_et._1504354113,"
 2-к квартира",20000,"ул. Тимирязева, 35",76.0,14,16,50,2020-07-02 13:11:00,Агентство,800 м,Горьковская,56.307132,43.997955,603022.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_36_m_826_et._1785209092,"
 2-к квартира",13000,"д. Анкудиновка, жилой комплекс КМ Анкудиновский Парк",36.0,8,26,0,2020-06-29 09:50:00,,,без метро,56.24705600000001,44.048602,,область
/nizhniy_novgorod/kvartiry/3-k_kvartira_69_m_110_et._1944691564,"
 3-к квартира",19000,"Народная ул., 32",69.0,1,10,0,2020-06-20 13:22:00,,"1,4 км",Бурнаковская,56.33801500000001,43.914718,603074.0,Московский район
