y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
2,No,0,1500,Парк Культуры,Автозаводская линия,1-к квартира,41.0,2,17,1569050700,1 неделю назад,56.228701,43.850605,603077,Автозаводский район,No
2,Yes,60,1400,Пролетарская,Автозаводская линия,1-к квартира,35.0,7,10,1569053220,1 неделю назад,56.270526000000004,43.89314,603095,Автозаводский район,No
4,Yes,70,600,Горьковская,Автозаводская линия,2-к квартира,50.0,18,19,1569062880,1 неделю назад,56.314057999999996,43.984454,603000,Нижегородский район,No
4,Yes,70,5300,Горьковская,Автозаводская линия,2-к квартира,76.0,9,22,1569062880,1 неделю назад,56.307171999999994,44.080385,603093,Нижегородский район,No
3,Yes,0,5900,Горьковская,Автозаводская линия,1-к квартира,40.0,10,19,1569054660,1 неделю назад,56.263062,44.02088,603136,Приокский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,3-к квартира,110.0,8,10,1569062760,1 неделю назад,56.31088199999999,44.001459000000004,603105,Советский район,No
4,Yes,70,2800,Горьковская,Автозаводская линия,3-к квартира,80.0,11,19,1569062760,1 неделю назад,56.322818999999996,44.038119,603024,Нижегородский район,No
4,No,0,4400,Горьковская,Автозаводская линия,3-к квартира,130.0,3,4,1569062640,1 неделю назад,56.290484,44.052357,603162,Советский район,No
4,Yes,50,1600,Горьковская,Автозаводская линия,4-к квартира,120.0,7,9,1569054660,1 неделю назад,56.314131999999994,44.020674,603024,Советский район,No
3,No,50,6800,Горьковская,Автозаводская линия,2-к квартира,58.0,11,19,1569049800,1 неделю назад,56.278118000000006,44.083718,603087,Кстовский район,No
2,Yes,60,600,Стрелка,Сормовская линия,1-к квартира,42.0,10,17,1569050820,1 неделю назад,56.340764,43.950965000000004,603159,Канавинский район,No
3,Yes,60,1100,Московская,Сормовская линия,3-к квартира,68.0,7,9,1569043380,1 неделю назад,56.326737,43.930914,603116,Канавинский район,No
2,Yes,60,4300,Горьковская,Автозаводская линия,1-к квартира,36.0,2,9,1569045480,1 неделю назад,56.284589000000004,44.041335,603136,Советский район,No
4,No,20,200,Двигатель Революции,Автозаводская линия,3-к квартира,67.0,7,10,1569049020,1 неделю назад,56.278677,43.919946,603135,Ленинский район,No
4,No,0,5300,Горьковская,Автозаводская линия,2-к квартира,72.0,4,10,1569052680,1 неделю назад,56.286398,44.06514,603087,Нижегородский район,No
4,Yes,70,1800,Горьковская,Автозаводская линия,1-к квартира,55.0,5,9,1569050100,1 неделю назад,56.316154000000004,44.023053999999995,603024,Советский район,No
4,Yes,60,500,Горьковская,Автозаводская линия,1-к квартира,39.7,2,5,1569049980,1 неделю назад,56.317602,43.998638,603000,Нижегородский район,No
2,No,0,2600,Парк Культуры,Автозаводская линия,1-к квартира,38.0,17,17,1569006060,1 неделю назад,56.216875,43.865229,603083,Автозаводский район,No
4,No,70,300,Горьковская,Автозаводская линия,2-к квартира,68.9,8,8,1569012360,1 неделю назад,56.314161999999996,43.989215,603000,Нижегородский район,No
3,Yes,60,5900,Буревестник,Сормовская линия,3-к квартира,46.0,2,5,1568998440,1 неделю назад,56.368759,43.820808,603158,Сормовский район,No
