href,price,agency,commissionPercent,metroDistance,metroStation,adress,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area
/nizhniy_novgorod/kvartiry/2-k_kvartira_50.2_m_1718_et._1804483458,23000,Агентство,0 %,5.4 км,Горьковская,"Нижний Новгород, улица Романтиков, 3",Автозаводская линия,2-к квартира,50.2,17,18,   9 сентября 11:58 ,2 недели назад,56.275539,44.047416999999996,,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_59_et._1050794155,10000,"АН ""Седьмой Континент""",50 %,7 км,Буревестник,"Нижний Новгород, улица Зайцева, 6",Сормовская линия,1-к квартира,33.0,5,9,   9 сентября 00:01 ,2 недели назад,56.370354000000006,43.801035999999996,,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_44_m_313_et._1785510305,18000,Агентство,70 %,5 км,Горьковская,"Нижний Новгород, улица Родионова, 193к3",Автозаводская линия,1-к квартира,44.0,3,13,   9 сентября 12:03 ,2 недели назад,56.303107,44.074195,603163.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_37_m_2325_et._1817944685,17000,Агентство,70 %,3.9 км,Автозаводская,"Нижний Новгород, проспект Гагарина, 101к2",Автозаводская линия,1-к квартира,37.0,23,25,   9 сентября 12:22 ,2 недели назад,56.238202,43.955115,603107.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_67_m_810_et._1785083052,20000,Агентство,70 %,2.3 км,Горьковская,"Нижний Новгород, улица Бориса Панина, 9к1",Автозаводская линия,2-к квартира,67.0,8,10,   9 сентября 12:03 ,2 недели назад,56.309464,44.030744,603089.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_47_m_69_et._892680750,23000,"""Этажи - НН""",50 %,100 м,Горьковская,"Нижний Новгород, улица Звездинка, 3",Автозаводская линия,2-к квартира,47.0,6,9,   9 сентября 11:18 ,2 недели назад,56.314627,43.993751,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/studiya_22_m_13_et._1459378600,10000,,0 %,5.7 км,Парк Культуры,"Нижний Новгород, Богородский район, поселок Новинки, жилой комплекс Акварель, Инженерный проезд.",Автозаводская линия,Студия,22.0,1,3,   8 сентября 21:06 ,2 недели назад,56.193091,43.890643,,
/nizhniy_novgorod/kvartiry/2-k_kvartira_65_m_1218_et._1098004187,44000,Агентство,70 %,800 м,Горьковская,"Нижний Новгород, ул Максима Горького, 43",Автозаводская линия,2-к квартира,65.0,12,18,   9 сентября 16:20 ,2 недели назад,56.312125,43.982298,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_70_m_311_et._1785838532,25000,Агентство,70 %,1.9 км,Горьковская,"Нижний Новгород, улица Маршала Баграмяна, 1",Автозаводская линия,2-к квартира,70.0,3,11,   9 сентября 12:36 ,2 недели назад,56.30008,43.976917,,Советский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_125_m_35_et._1419513265,55000,Агентство,70 %,1.1 км,Горьковская,"Нижний Новгород, Ошарская улица, 17",Автозаводская линия,3-к квартира,125.0,3,5,   9 сентября 16:20 ,2 недели назад,56.319334999999995,44.009571,603006.0,Нижегородский район
